year,season,team,result,rounds_reached,team_po_games,n_stars,star_avail_pct,star_games_missed,elim_star_missed,health_rank,field_size
2019,2018-19,DEN,eliminated-R2,2,14,5,100.0,0,0,1,16
2019,2018-19,HOU,eliminated-R2,2,11,5,100.0,0,0,1,16
2019,2018-19,LAC,eliminated-R1,1,6,5,100.0,0,0,1,16
2019,2018-19,OKC,eliminated-R1,1,5,5,100.0,0,0,1,16
2019,2018-19,ORL,eliminated-R1,1,5,5,100.0,0,0,1,16
2019,2018-19,SAS,eliminated-R1,1,7,5,100.0,0,0,1,16
2019,2018-19,TOR,champion,4,24,5,100.0,0,0,1,16
2019,2018-19,UTA,eliminated-R1,1,5,5,100.0,0,0,1,16
2019,2018-19,PHI,eliminated-R2,2,12,5,98.3,1,0,9,16
2019,2018-19,DET,eliminated-R1,1,4,5,90.0,2,2,10,16
2019,2018-19,MIL,eliminated-R3,3,15,5,89.3,8,0,11,16
2019,2018-19,BOS,eliminated-R2,2,9,5,84.4,7,3,12,16
2019,2018-19,BKN,eliminated-R1,1,5,5,80.0,5,5,13,16
2019,2018-19,IND,eliminated-R1,1,4,5,80.0,4,4,13,16
2019,2018-19,POR,eliminated-R3,3,16,5,80.0,16,4,13,16
2019,2018-19,GSW,runner-up,4,22,5,77.3,25,6,16,16
2020,2019-20,LAC,eliminated-R2,2,13,5,100.0,0,0,1,16
2020,2019-20,LAL,champion,4,21,5,100.0,0,0,1,16
2020,2019-20,OKC,eliminated-R1,1,7,5,100.0,0,0,1,16
2020,2019-20,TOR,eliminated-R2,2,11,5,100.0,0,0,1,16
2020,2019-20,MIL,eliminated-R2,2,10,5,96.0,2,2,5,16
2020,2019-20,MIA,runner-up,4,21,5,88.6,12,6,6,16
2020,2019-20,BOS,eliminated-R3,3,17,5,85.9,12,2,7,16
2020,2019-20,PHI,eliminated-R1,1,4,5,80.0,4,4,8,16
2020,2019-20,POR,eliminated-R1,1,5,5,76.0,6,6,9,16
2020,2019-20,DEN,eliminated-R3,3,19,5,74.7,24,5,10,16
2020,2019-20,UTA,eliminated-R1,1,7,5,74.3,9,9,11,16
2020,2019-20,HOU,eliminated-R2,2,12,5,73.3,16,5,12,16
2020,2019-20,DAL,eliminated-R1,1,6,5,70.0,9,9,13,16
2020,2019-20,IND,eliminated-R1,1,4,5,60.0,8,8,14,16
2020,2019-20,ORL,eliminated-R1,1,5,5,60.0,10,10,14,16
2020,2019-20,BKN,eliminated-R1,1,4,5,30.0,14,14,16,16
2021,2020-21,DAL,eliminated-R1,1,7,5,100.0,0,0,1,16
2021,2020-21,MEM,eliminated-R1,1,5,5,100.0,0,0,1,16
2021,2020-21,MIA,eliminated-R1,1,4,5,100.0,0,0,1,16
2021,2020-21,POR,eliminated-R1,1,6,5,100.0,0,0,1,16
2021,2020-21,PHX,runner-up,4,22,5,98.2,2,0,5,16
2021,2020-21,LAL,eliminated-R1,1,6,5,93.3,2,2,6,16
2021,2020-21,PHI,eliminated-R2,2,12,5,91.7,5,4,7,16
2021,2020-21,UTA,eliminated-R2,2,11,5,89.1,6,5,8,16
2021,2020-21,ATL,eliminated-R3,3,18,5,83.3,15,8,9,16
2021,2020-21,MIL,champion,4,23,5,80.9,22,6,10,16
2021,2020-21,BKN,eliminated-R2,2,12,5,80.0,12,9,11,16
2021,2020-21,NYK,eliminated-R1,1,5,5,80.0,5,5,11,16
2021,2020-21,WAS,eliminated-R1,1,5,5,76.0,6,6,13,16
2021,2020-21,LAC,eliminated-R3,3,19,5,73.7,25,12,14,16
2021,2020-21,BOS,eliminated-R1,1,5,5,72.0,7,7,15,16
2021,2020-21,DEN,eliminated-R2,2,10,5,66.0,17,5,16,16
2022,2021-22,BKN,eliminated-R1,1,4,5,100.0,0,0,1,16
2022,2021-22,DEN,eliminated-R1,1,5,5,100.0,0,0,1,16
2022,2021-22,GSW,champion,4,22,5,100.0,0,0,1,16
2022,2021-22,MIN,eliminated-R1,1,6,5,100.0,0,0,1,16
2022,2021-22,NOP,eliminated-R1,1,6,5,100.0,0,0,1,16
2022,2021-22,UTA,eliminated-R1,1,6,5,100.0,0,0,1,16
2022,2021-22,ATL,eliminated-R1,1,5,5,96.0,1,1,7,16
2022,2021-22,PHX,eliminated-R2,2,13,5,95.4,3,0,8,16
2022,2021-22,PHI,eliminated-R2,2,12,5,91.7,5,2,9,16
2022,2021-22,BOS,runner-up,4,24,5,90.8,11,0,10,16
